,name,handedness,height,weight,avg,HR,weight_height
87,Sherman Corbett,L,76,205,0,0,1.352380952
88,Lafayette Currence,B,71,175,0,0,0.733333333
89,John Pawlowski,R,74,175,0,0,0.933333333
90,Jack Hardy,R,74,175,0,0,0.933333333
91,Ron Musselman,R,74,185,0,0,1.028571429
92,Tony Chevez,R,71,177,0,0,0.752380952
93,Gary Ignasiak,R,71,185,0,0,0.828571429
94,Mike Smithson,L,80,215,0,0,1.714285714
95,Joe Skalski,R,75,190,0,0,1.142857143
96,Bert Bradley,B,73,190,0,0,1.00952381
97,Francisco Barrios,R,71,155,0,0,0.542857143
98,Reggie Ritter,L,74,195,0,0,1.123809524
99,Bob Babcock,R,77,210,0,0,1.466666667
100,Craig Eaton,R,71,175,0,0,0.733333333
101,Roy Branch,R,72,175,0,0,0.8
102,Rob Woodward,R,75,185,0,0,1.095238095
103,Bob Veselic,R,72,175,0,0,0.8
104,Chuck Hockenbery,B,73,195,0,0,1.057142857
105,Bob Ferris,R,78,225,0,0,1.676190476
106,Gary Wheelock,R,75,205,0,0,1.285714286
107,Mike Rochford,L,76,205,0,0,1.352380952
108,Jeff Schneider,B,75,195,0,0,1.19047619
109,Luis Encarnacion,R,70,178,0,0,0.695238095
110,Rick Kreuger,R,74,185,0,0,1.028571429
111,Angel Moreno,L,69,165,0,0,0.504761905
112,Roger Weaver,R,75,190,0,0,1.142857143
113,Chris Knapp,R,77,195,0,0,1.323809524
114,Don Welchel,R,76,205,0,0,1.352380952
115,Randy Wiles,L,73,185,0,0,0.961904762
116,Dewey Robinson,R,72,180,0,0,0.847619048
117,Tony Arnold,R,71,170,0,0,0.685714286
118,Jeff Schattinger,L,77,200,0,0,1.371428571
119,Ike Brookens,R,77,170,0,0,1.085714286
120,Win Remmerswaal,R,74,160,0,0,0.79047619
121,Jeff Peterek,R,74,195,0,0,1.123809524
122,Jeff Shaver,R,75,195,0,0,1.19047619
123,Pete Filson,B,74,195,0,0,1.123809524
124,Jim Gideon,R,75,190,0,0,1.142857143
125,Jeff Twitty,L,74,185,0,0,1.028571429
126,Steve Cummings,B,74,200,0,0,1.171428571
127,Jose Cecena,R,71,180,0,0,0.780952381
128,Greg Erardi,R,73,190,0,0,1.00952381
129,Jim Farr,R,73,195,0,0,1.057142857
130,Frank Dimichele,R,75,205,0,0,1.285714286
131,Mike Warren,R,73,175,0,0,0.866666667
132,Bill Fulton,R,75,195,0,0,1.19047619
133,Larry Anderson,R,75,190,0,0,1.142857143
134,Craig Mitchell,R,75,180,0,0,1.047619048
135,Alfredo Martinez,R,75,185,0,0,1.095238095
136,Joel Davis,L,77,205,0,0,1.419047619
137,Bill Mooneyham,R,72,175,0,0,0.8
138,John Hobbs,R,75,190,0,0,1.142857143
139,Karl Best,R,76,190,0,0,1.20952381
140,Steve Barr,L,76,200,0,0,1.304761905
141,Luis Sanchez,R,74,170,0,0,0.885714286
142,Mike Brown,R,74,195,0,0,1.123809524
143,Steve Davis,L,73,195,0,0,1.057142857
144,Jeff Rineer,L,76,205,0,0,1.352380952
145,Mark Mercer,L,77,220,0,0,1.561904762
146,John Caneira,R,75,180,0,0,1.047619048
147,Clint Zavaras,R,73,175,0,0,0.866666667
148,Mike Parrott,R,76,210,0,0,1.4
149,Luis Aponte,R,72,185,0,0,0.895238095
150,Paul Boris,R,74,200,0,0,1.171428571
151,De Wayne Buice,R,72,170,0,0,0.752380952
152,Mark Esser,R,73,190,0,0,1.00952381
153,Daryl Smith,R,76,185,0,0,1.161904762
154,Dave Smith,R,73,190,0,0,1.00952381
155,Dave Stapleton,L,73,185,0,0,0.961904762
156,Tom Klawitter,R,74,190,0,0,1.076190476
157,Gary Christenson,L,77,200,0,0,1.371428571
158,Jim Wright,R,77,205,0,0,1.419047619
159,Jim Wright,R,73,165,0,0,0.771428571
160,Mike Kinnunen,L,73,185,0,0,0.961904762
161,Dave Rajsich,L,77,175,0,0,1.133333333
162,Ramon Pena,R,70,155,0,0,0.476190476
163,Chico Escarrega,R,71,185,0,0,0.828571429
164,Cardell Camper,R,75,208,0,0,1.314285714
165,Mike Overy,R,74,190,0,0,1.076190476
166,Craig Chamberlain,R,73,190,0,0,1.00952381
167,Frank Eufemia,R,71,185,0,0,0.828571429
168,Jack Lazorko,R,71,200,0,0,0.971428571
169,Mike Paxton,R,71,190,0,0,0.876190476
170,Rickey Keeton,R,74,190,0,0,1.076190476
171,Terry Felton,R,73,180,0,0,0.914285714
172,Mark Clear,R,76,200,0,0,1.304761905
173,Mike Pazik,L,74,195,0,0,1.123809524
174,Rich Barnes,R,76,186,0,0,1.171428571
175,Dave Frost,R,78,235,0,0,1.771428571
176,Mark Souza,L,72,180,0,0,0.847619048
177,Rick Jones,L,77,190,0,0,1.276190476
178,Jim Dorsey,R,79,190,0,0,1.40952381
179,Mark Ciardi,R,72,180,0,0,0.847619048
180,Dennis Burtt,R,72,180,0,0,0.847619048
181,Rich Yett,R,74,187,0,0,1.047619048
182,Matt Williams,R,73,200,0,0,1.104761905
183,Jim Burton,R,75,195,0,0,1.19047619
184,Rick Anderson,R,74,210,0,0,1.266666667
185,Charlie Mitchell,R,75,170,0,0,0.952380952
186,Bill Paschall,R,72,175,0,0,0.8
187,John Bohnet,B,72,175,0,0,0.8
188,Byron McLaughlin,R,73,175,0,0,0.866666667
189,Luis Quintana,L,74,175,0,0,0.933333333
190,Keith Macwhorter,R,76,190,0,0,1.20952381
191,Jaime Cocanower,R,76,200,0,0,1.304761905
192,Jeff Sellers,R,73,175,0,0,0.866666667
193,Steve Senteney,R,74,205,0,0,1.219047619
194,Howard Bailey,R,72,195,0,0,0.99047619
195,Jeff Bettendorf,R,75,180,0,0,1.047619048
196,Bob Davidson,R,72,185,0,0,0.895238095
197,Brian Snyder,L,75,185,0,0,1.095238095
198,Carlos Velazquez,R,71,180,0,0,0.780952381
199,Roger Miller,R,75,200,0,0,1.238095238
200,Willie Mueller,R,76,220,0,0,1.495238095
201,John Flinn,R,72,175,0,0,0.8
202,Les Straker,R,73,193,0,0,1.038095238
203,Don Kainer,R,75,205,0,0,1.285714286
204,Don Gordon,R,73,175,0,0,0.866666667
205,Sandy Wihtol,R,73,195,0,0,1.057142857
206,Jeff Richardson,R,75,185,0,0,1.095238095
207,Dennis DeBarr,L,74,190,0,0,1.076190476
208,Jay Pettibone,R,76,182,0,0,1.133333333
209,Glen Cook,R,71,180,0,0,0.780952381
210,Bill Castro,R,71,170,0,0,0.685714286
211,Ed Hodge,L,74,192,0,0,1.095238095
212,Tom Buskey,R,75,200,0,0,1.238095238
213,Bruce Taylor,R,72,178,0,0,0.828571429
214,Stan Thomas,R,74,185,0,0,1.028571429
215,Larry Monroe,R,76,200,0,0,1.304761905
216,Roger Slagle,R,75,190,0,0,1.142857143
217,Jim Campbell,L,71,175,0,0,0.733333333
218,Curt Kaufman,R,74,175,0,0,0.933333333
219,De Wayne Vaughn,R,71,180,0,0,0.780952381
220,Bob Galasso,L,73,205,0,0,1.152380952
221,Rich Wortham,R,72,185,0,0,0.895238095
222,Juan Nieves,L,75,175,0,0,1
223,Mike Bacsik,R,74,180,0,0,0.980952381
224,Phil Huffman,R,74,180,0,0,0.980952381
225,Steve Brown,R,77,200,0,0,1.371428571
226,Rick Lysander,R,74,190,0,0,1.076190476
227,Mel Stottlemyre,R,72,190,0,0,0.942857143
228,Alex Sanchez,R,74,185,0,0,1.028571429
229,Paul Wilmet,R,71,170,0,0,0.685714286
230,Bruce Ellingsen,L,72,180,0,0,0.847619048
231,Gorman Heimueller,L,76,195,0,0,1.257142857
232,Fred Howard,R,75,190,0,0,1.142857143
233,John Hoover,R,74,190,0,0,1.076190476
234,Mike Walters,R,77,203,0,0,1.4
235,Colby Ward,R,74,185,0,0,1.028571429
236,Chuck Porter,R,75,187,0,0,1.114285714
237,Tom Dozier,R,74,190,0,0,1.076190476
238,Rick Steirer,R,76,200,0,0,1.304761905
239,Al Lachowicz,R,75,198,0,0,1.219047619
240,Tom McCarthy,R,72,180,0,0,0.847619048
241,Jim Lewis,R,75,190,0,0,1.142857143
242,Dan Morogiello,L,73,200,0,0,1.104761905
243,Shawn Holman,R,74,185,0,0,1.028571429
244,Alan Wirth,R,76,190,0,0,1.20952381
245,Terry Wilshusen,R,74,210,0,0,1.266666667
246,Steve Ellsworth,R,80,220,0,0,1.761904762
247,Bryan Kelly,R,74,195,0,0,1.123809524
248,John Leister,R,74,200,0,0,1.171428571
249,Don Cooper,R,73,185,0,0,0.961904762
250,Jeff Jones,R,75,210,0,0,1.333333333
251,John Poloni,L,77,210,0,0,1.466666667
252,Mike Willis,L,74,205,0,0,1.219047619
253,Stefan Wever,R,80,245,0,0,2
254,Dave Johnson,R,73,183,0,0,0.942857143
255,Jerry Augustine,L,72,183,0,0,0.876190476
256,Jeff Holly,L,77,210,0,0,1.466666667
257,Eric Hetzel,R,75,175,0,0,1
258,Dave Lemanczyk,R,76,235,0,0,1.638095238
259,Al Jones,R,76,210,0,0,1.4
260,Sam Hinds,R,78,215,0,0,1.580952381
261,Clay Christiansen,R,77,205,0,0,1.419047619
262,Larry Rothschild,L,74,180,0,0,0.980952381
263,Gary Lance,B,75,195,0,0,1.19047619
264,Larry Pashnick,R,75,205,0,0,1.285714286
265,Todd Fischer,R,70,170,0,0,0.619047619
266,Dean Chance,R,75,200,0.066,1,1.238095238
267,Vida Blue,B,72,189,0.104,1,0.933333333
268,Mickey Lolich,B,73,170,0.11,1,0.819047619
269,Jack Billingham,R,76,195,0.111,1,1.257142857
270,Bob Veale,B,78,212,0.114,1,1.552380952
271,Steve Barber,L,72,195,0.115,5,0.99047619
272,Jerry Koosman,R,74,205,0.119,2,1.219047619
273,Burt Hooton,R,73,210,0.123,4,1.2
274,Ray Culp,R,72,200,0.123,1,1.038095238
275,Fred Norman,B,68,155,0.125,1,0.342857143
276,Al Downing,R,71,175,0.127,1,0.733333333
277,Joaquin Andujar,B,72,170,0.127,5,0.752380952
278,Denny Lemaster,R,73,182,0.13,4,0.933333333
279,Gaylord Perry,R,76,205,0.131,6,1.352380952
280,Randy Jones,R,72,178,0.132,1,0.828571429
281,Mario Soto,R,72,174,0.132,1,0.79047619
282,Denny McLain,R,73,185,0.133,1,0.961904762
283,Dave McNally,R,71,185,0.133,9,0.828571429
284,Joe Horlen,R,72,170,0.134,0,0.752380952
285,Larry Dierker,R,76,215,0.136,4,1.447619048
286,Jim Lonborg,R,77,200,0.136,3,1.371428571
287,Bob Knepper,L,75,195,0.137,6,1.19047619
288,Gary Nolan,R,74,197,0.138,1,1.142857143
289,Steve Rogers,R,74,175,0.138,0,0.933333333
290,Woodie Fryman,R,75,197,0.138,2,1.20952381
291,Don Sutton,R,73,185,0.144,0,0.961904762
292,Don Wilson,R,74,195,0.146,1,1.123809524
293,Ray Burris,R,77,200,0.151,1,1.371428571
294,Tom Seaver,R,73,195,0.154,12,1.057142857
295,Sam McDowell,L,77,190,0.154,2,1.276190476
296,Joe Niekro,R,73,185,0.156,1,0.961904762
297,Carl Morton,R,72,200,0.156,7,1.038095238
298,Tommy John,R,75,180,0.157,5,1.047619048
299,Ron Reed,R,78,215,0.158,0,1.580952381
300,Fritz Peterson,B,72,185,0.159,2,0.895238095
301,Mel Stottlemyre,R,73,178,0.16,7,0.895238095
302,John Vukovich,R,73,187,0.161,6,0.980952381
303,Jim Barr,R,75,205,0.162,1,1.285714286
304,Ken Holtzman,R,74,175,0.163,2,0.933333333
305,Luis Tiant,R,72,180,0.164,5,0.847619048
306,Fergie Jenkins,R,77,205,0.165,13,1.419047619
307,Juan Marichal,R,72,185,0.165,4,0.895238095
308,Jerry Reuss,L,77,200,0.167,1,1.371428571
309,J.R. Richard,R,80,222,0.168,10,1.780952381
310,Phil Niekro,R,73,180,0.169,7,0.914285714
311,Andy Messersmith,R,73,200,0.17,5,1.104761905
312,John Denny,R,75,185,0.17,0,1.095238095
313,Steve Blass,R,72,165,0.172,1,0.704761905
314,Sonny Siebert,R,75,190,0.173,12,1.142857143
315,Ray Oyler,R,71,165,0.175,15,0.638095238
316,Tommy Dean,R,72,165,0.18,4,0.704761905
317,Dick Ruthven,R,75,190,0.183,1,1.142857143
318,Bill Plummer,R,73,190,0.188,14,1.00952381
319,Ron Clark,R,70,175,0.189,5,0.666666667
320,Ray Sadecki,L,71,180,0.191,5,0.780952381
321,Tony Cloninger,R,72,210,0.192,11,1.133333333
322,Mike Ryan,R,74,205,0.193,28,1.219047619
323,Mike Krukow,R,77,205,0.193,5,1.419047619
324,Luis Pujols,R,74,175,0.193,6,0.933333333
325,Dave Roberts,L,75,195,0.194,7,1.19047619
326,Rick Wise,R,73,180,0.195,15,0.914285714
327,Rich Morales,R,71,170,0.195,6,0.685714286
328,Dan Briggs,L,72,180,0.195,12,0.847619048
329,Jim French,L,68,180,0.196,5,0.580952381
330,Bob Davis,R,72,180,0.197,6,0.847619048
331,Doug Camilli,R,71,195,0.199,18,0.923809524
332,Frank Fernandez,R,72,185,0.199,39,0.895238095
333,Orlando Mercado,R,72,180,0.199,7,0.847619048
334,Bob Uecker,R,73,190,0.2,14,1.00952381
335,Tom Egan,R,76,218,0.2,22,1.476190476
336,John Hale,L,74,195,0.201,14,1.123809524
337,Jim Maloney,L,74,190,0.201,7,1.076190476
338,Steve Carlton,L,76,210,0.201,13,1.4
339,Jim Rooker,R,72,195,0.201,7,0.99047619
340,Doug Frobel,L,76,196,0.201,20,1.266666667
341,Jim Mason,L,74,185,0.203,12,1.028571429
342,Jerry Zimmerman,R,74,185,0.204,3,1.028571429
343,Don Mason,L,71,160,0.205,3,0.59047619
344,Tom Nieto,R,73,193,0.205,5,1.038095238
345,George Smith,R,70,170,0.205,9,0.619047619
346,Buddy Biancalana,B,71,160,0.205,6,0.59047619
347,Steve Huntz,B,73,204,0.206,16,1.142857143
348,Dick Simpson,R,76,176,0.207,15,1.076190476
349,Tom Lawless,R,71,170,0.207,2,0.685714286
350,Jackie Hernandez,R,71,165,0.208,12,0.638095238
351,Bobby Klaus,R,70,170,0.208,6,0.619047619
352,Steve Jeltz,B,71,180,0.21,5,0.780952381
353,Luis Gomez,R,69,150,0.21,0,0.361904762
354,Jack Heidemann,R,72,175,0.211,9,0.8
355,Terry Humphrey,R,75,185,0.211,6,1.095238095
356,Jerry Narron,L,75,205,0.211,21,1.285714286
357,Rusty Torres,B,70,175,0.212,35,0.666666667
358,Angel Salazar,R,72,180,0.212,2,0.847619048
359,Ned Yost,R,73,190,0.212,16,1.00952381
360,Rudy Meoli,L,69,165,0.212,2,0.504761905
361,Dave Nicholson,R,74,215,0.212,61,1.314285714
362,Dave Hilton,R,71,191,0.213,6,0.885714286
363,Alan Knicely,R,72,190,0.213,12,0.942857143
364,Ken Rudolph,R,73,180,0.213,6,0.914285714
365,Curt Motton,R,68,164,0.213,25,0.428571429
366,Dick Tracewski,R,71,160,0.213,8,0.59047619
367,Dave Campbell,R,73,180,0.213,20,0.914285714
368,Bob Forsch,R,76,200,0.213,12,1.304761905
369,Mick Kelleher,R,69,176,0.213,0,0.60952381
370,Luis Alvarado,R,69,162,0.214,5,0.476190476
371,Dave Duncan,R,74,190,0.214,109,1.076190476
372,Jim Price,R,72,192,0.214,18,0.961904762
373,Jeff Torborg,R,72,195,0.214,8,0.99047619
374,Hal King,L,73,200,0.214,24,1.104761905
375,Frank Quilici,R,73,170,0.214,5,0.819047619
376,Larry Haney,R,74,195,0.215,12,1.123809524
377,Phil Roof,R,74,190,0.215,43,1.076190476
378,Jose Arcia,R,75,170,0.215,1,0.952380952
379,Mario Mendoza,R,71,170,0.215,4,0.685714286
380,Steve Renko,R,77,230,0.215,6,1.657142857
381,Tom Matchick,L,73,173,0.215,4,0.847619048
382,Skip Jutze,R,71,190,0.215,3,0.876190476
383,Bobby Wine,R,73,187,0.215,30,0.980952381
384,Hector Torres,R,72,175,0.216,18,0.8
385,Joe Lovitto,B,72,185,0.216,4,0.895238095
386,Steve Swisher,R,74,205,0.216,20,1.219047619
387,Pat Corrales,R,72,180,0.216,4,0.847619048
388,Billy Bryan,L,76,200,0.216,41,1.304761905
389,Howie Goss,R,76,204,0.216,11,1.342857143
390,Fred Stanley,R,70,165,0.216,10,0.571428571
391,John Stephenson,L,71,180,0.216,12,0.780952381
392,Dal Maxvill,R,71,157,0.217,6,0.561904762
393,Vic Harris,B,71,165,0.217,13,0.638095238
394,Darrel Chaney,B,74,188,0.217,14,1.057142857
395,Jim Anderson,R,72,170,0.218,13,0.752380952
396,Stan Papi,R,72,170,0.218,7,0.752380952
397,Tucker Ashford,R,73,195,0.218,6,1.057142857
398,Ted Ford,R,70,180,0.219,17,0.714285714
399,Craig Robinson,R,70,165,0.219,0,0.571428571
400,John Boccabella,R,73,195,0.219,26,1.057142857
401,Al Weis,B,72,160,0.219,7,0.657142857
402,Jerry Buchek,R,71,185,0.22,22,0.828571429
403,Tim Cullen,R,73,185,0.22,9,0.961904762
404,Ed Crosby,L,74,175,0.22,0,0.933333333
405,Danny Ainge,R,76,175,0.22,2,1.066666667
406,Jim Nettles,L,72,186,0.22,16,0.904761905
407,Pedro Garcia,R,70,175,0.22,37,0.666666667
408,Rick Auerbach,R,72,165,0.22,9,0.704761905
409,Todd Cruz,R,72,175,0.22,34,0.8
410,Mike Fischlin,R,73,165,0.22,3,0.771428571
411,Ellie Hendricks,L,73,175,0.22,62,0.866666667
412,Bob Coluccio,R,71,183,0.22,26,0.80952381
413,Duffy Dyer,R,72,187,0.221,30,0.914285714
414,Larry Cox,R,70,178,0.221,12,0.695238095
415,Ken Gerhart,R,72,190,0.221,24,0.942857143
416,Gary Allenson,R,71,185,0.221,19,0.828571429
417,Bob Jones,L,74,195,0.221,20,1.123809524
418,Rick Renick,R,72,188,0.221,20,0.923809524
419,Kevin Bell,R,72,195,0.222,13,0.99047619
420,Johnnie LeMaster,R,74,165,0.222,22,0.838095238
421,Danny Walton,R,72,195,0.223,28,0.99047619
422,Joe Lahoud,L,73,198,0.223,65,1.085714286
423,Marc Hill,R,75,205,0.223,34,1.285714286
424,Nelson Mathews,R,76,195,0.223,22,1.257142857
425,Tim Johnson,L,73,170,0.223,0,0.819047619
426,Sam Bowens,R,73,188,0.223,45,0.99047619
427,Andres Mora,R,72,180,0.223,27,0.847619048
428,Jimmie Schaffer,R,69,170,0.223,11,0.552380952
429,Jeff Newman,R,74,215,0.224,63,1.314285714
430,Ed Brinkman,R,72,170,0.224,60,0.752380952
431,Enzo Hernandez,R,68,155,0.224,2,0.342857143
432,Carmen Fanzone,R,72,200,0.224,20,1.038095238
433,Roger Repoz,L,75,190,0.224,82,1.142857143
434,Dick Nen,L,74,200,0.224,21,1.171428571
435,Bob Burda,L,71,174,0.224,13,0.723809524
436,Buck Martinez,R,70,190,0.225,58,0.80952381
437,Bobby Cox,R,71,180,0.225,9,0.780952381
438,Tom Satriano,L,73,185,0.225,21,0.961904762
439,Paul Casanova,R,76,180,0.225,50,1.114285714
440,Hector Cruz,R,71,170,0.225,39,0.685714286
441,Tim Laudner,R,75,212,0.225,77,1.352380952
442,Gorman Thomas,R,74,210,0.225,268,1.266666667
443,Rich McKinney,R,71,185,0.225,20,0.828571429
444,John Kennedy,R,72,185,0.225,32,0.895238095
445,Tommie Reynolds,R,74,190,0.226,12,1.076190476
446,Mike Richardt,R,72,170,0.226,4,0.752380952
447,Mike Sadek,R,69,165,0.226,5,0.504761905
448,Jim Gosger,L,71,185,0.226,30,0.828571429
449,Buddy Bradford,R,71,170,0.226,52,0.685714286
450,Nate Oliver,R,70,160,0.226,2,0.523809524
451,Catfish Hunter,R,72,190,0.226,6,0.942857143
452,Bob Barton,R,72,175,0.226,9,0.8
453,Pete Mackanin,R,74,190,0.226,30,1.076190476
454,Johnny Lewis,L,73,189,0.227,22,1
455,Sal Butera,R,72,190,0.227,8,0.942857143
456,Dick Billings,R,73,195,0.227,16,1.057142857
457,Chris Bando,B,72,195,0.227,27,0.99047619
458,Larry Lintz,B,69,150,0.227,0,0.361904762
459,Mike Fiore,L,72,175,0.227,13,0.8
460,Bill Voss,L,74,160,0.227,19,0.79047619
461,Jim Traber,L,72,194,0.227,27,0.980952381
462,Ken Suarez,R,69,175,0.227,5,0.6
463,Joe Nossek,R,72,178,0.228,3,0.828571429
464,Mark Belanger,R,73,170,0.228,20,0.819047619
465,Steve Yeager,R,72,190,0.228,102,0.942857143
466,Brian Giles,R,73,165,0.228,10,0.771428571
467,Hal Lanier,R,74,180,0.228,8,0.980952381
468,Russ Gibson,R,73,195,0.228,8,1.057142857
469,Tim Blackwell,B,71,170,0.228,6,0.685714286
470,Wayne Comer,R,70,175,0.229,16,0.666666667
471,Dave McKay,B,73,195,0.229,21,1.057142857
472,Bob Didier,B,72,190,0.229,0,0.942857143
473,Mike Champion,R,72,185,0.229,2,0.895238095
474,Dick Phillips,L,72,180,0.229,12,0.847619048
475,Duane Walker,L,72,185,0.229,24,0.895238095
476,Vic Correll,R,70,185,0.229,29,0.761904762
477,Glenn Borgmann,R,76,210,0.229,16,1.4
478,Tommie Aaron,R,75,190,0.229,13,1.142857143
479,Dave Hostetler,R,76,215,0.229,37,1.447619048
480,Doug Clemens,L,72,180,0.229,12,0.847619048
481,Don Leppert,R,74,220,0.229,15,1.361904762
482,Mike Brumley,L,70,195,0.229,5,0.857142857
483,Gene Michael,B,74,183,0.229,15,1.00952381
484,Syd O'Brien,R,73,185,0.23,24,0.961904762
485,Billy Smith,B,74,185,0.23,17,1.028571429
486,Steve Whitaker,L,72,180,0.23,24,0.847619048
487,Lenn Sakata,R,69,160,0.23,25,0.457142857
488,Cap Peterson,R,74,195,0.23,19,1.123809524
489,Sandy Valdespino,L,68,170,0.23,7,0.485714286
490,Barry Foote,R,75,205,0.23,57,1.285714286
491,Gary Alexander,R,74,195,0.23,55,1.123809524
492,John Bateman,R,75,210,0.23,81,1.333333333
493,Winston Llenas,R,70,165,0.23,3,0.571428571
494,Brad Wellman,R,72,170,0.231,6,0.752380952
495,Ted Kubiak,B,72,175,0.231,13,0.8
496,Roger Metzger,B,72,165,0.231,5,0.704761905
497,Ken Walters,R,73,180,0.231,11,0.914285714
498,Jim Beauchamp,R,74,190,0.231,14,1.076190476
499,Elio Chacon,R,69,160,0.232,4,0.457142857
500,Vern Fuller,R,73,170,0.232,14,0.819047619
501,Larry Stahl,L,72,175,0.232,36,0.8
502,Bob Tillman,R,76,205,0.232,79,1.352380952
503,Ron Gardenhire,R,72,175,0.232,4,0.8
504,Buck Rodgers,B,74,190,0.232,31,1.076190476
505,Frank Duffy,R,73,180,0.232,26,0.914285714
506,Steve Lombardozzi,R,72,175,0.233,20,0.8
507,Larry Brown,R,70,160,0.233,47,0.523809524
508,Jake Gibbs,L,72,180,0.233,25,0.847619048
509,Wayne Gross,L,74,210,0.233,121,1.266666667
510,Coco Laboy,R,70,165,0.233,28,0.571428571
511,Bob Kearney,R,72,190,0.233,27,0.942857143
512,Ron Woods,R,70,168,0.233,26,0.6
513,Paul Popovich,B,72,175,0.233,14,0.8
514,Joe Lis,R,72,175,0.233,32,0.8
515,Terry Harmon,R,74,180,0.233,4,0.980952381
516,Clay Dalrymple,L,72,190,0.233,55,0.942857143
